Plant url,Common name,Common Name - MBG,Botanical name,Botanical Name - MBG,Type,Family,Native range,Zone,Zone low,Zone high,Height,Height low,Height high,Unit,Spread,Spread low,Spread high,Unit,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Attracts,Fruit,Leaf,Other,Tolerate,Culture,Noteworthy characteristics,Problems,Garden uses,Hummingbirds,Butterflies,Birds,Erosion,Rabbit,Black Walnut,Drought,Clay Soil,Deer,Dry Soil,Shallow-Rocky Soil,Heavy Shade,Wet Soil,Air Pollution
Not found,0,0,Abelia grandiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282605&isprofile=1&basic=Abelmoschus+esculentus,0, okra ,Abelmoschus esculentus,Abelmoschus esculentus , Annual, Malvaceae, Old World Tropics, 2 to 11, 2 , 11, 3.00 to 5.00 feet, 3.00 ,5.00,feet, 3.00 to 5.00 feet, 3.00 ,5.00,feet, Seasonal bloomer, Yellow with purple center, Full sun, Medium, Medium, Vegetable, Showy,,,,,,"
Culture
Annual that is easily grown in moist, moderately fertile, well-drained soils in full sun.  Best flowering is in full sun.  Thrives in hot summer climates.  Seeds are sensitive to cold temperatures and should not be planted outside until soil temperatures have risen to 60 degree F. and night temperatures no longer dip below 55 degrees F.  As an alternative, seed may be started indoors about 1-2 weeks prior to last frost date with seedling planted outside as soon as soils warm.  Harvest the pods when they reach 3"" long.  First harvest of okra will occur about 55 days after seeds sprout.  Seed may be harvested from garden plants for planting the following year.
","
Noteworthy Characteristics
Abelmoschus esculentus, commonly called okra, is native to tropical Africa and Asia. It is an annual that typically grows 3-5' tall. It is grown for harvest of its edible fruit/seed pods which are perhaps best noted as the signature ingredient in gumbo. Species plants feature hibiscus-like yellow flowers (to 2-3” wide) with purplish centers. Cultivars expand the available flower colors to include attractive shades of pink, orange-red and red often with white centers. Flowers last only for one day, but plants bloom freely throughout the growing season to frost. Flowers give way to fruit capsules which have a musky aroma, hence the common name. Hairy, dark green leaves are deeply cut into 3-7 lobes.Genus name is believed to come from the Arabic abu-l-mosk in reference to the smell of the seeds.Specific epithet means good to eat or edible.
","
Problems
No serious insect or disease problems.  Aphids.  Corn earworm.  Watch for spider mites, slugs and whiteflies.  Root rot may occur in poorly drained soils.  Susceptible to powdery mildew.   Some people develop skin rashes when working with this plant (wear gloves to avoid contact with stems and leaves).
","
Garden Uses
Beds, border fronts, pots, containers.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=368543&isprofile=1&basic=Abelmoschus+manihot,0, sunset huskmallow	 ,Abelmoschus manihot,Abelmoschus manihot , Herbaceous perennial, Malvaceae, Southeastern Asia, 8 to 10, 8 , 10, 4.00 to 6.00 feet, 4.00 ,6.00,feet, 2.00 to 3.00 feet, 2.00 ,3.00,feet, July to frost, Pale yellow with maroon eye, Full sun, Medium, Low," Annual, Vegetable", Showy,,,,, Deer,"
Culture
Easily grown in moist, well-draining, loamy soils in full sun. Hardy in Zones 8-10, were it can be grown as a large perennial. Can be cut to the ground in winter and allowed to rejuvenate. In colder climates, can be used as an annual. Requires regular fertilization and irrigation for best performance. A fast grower, especially in ideal conditions. Can be propagated from seeds or cuttings.
","
Noteworthy Characteristics
Abelmoschus manihot, commonly called sunset muskmallow or edible hibiscus, is a large annual or perennial herb growing up to 6' tall and reaching 3' wide. A native of southeastern Asia where it grows in grasslands, stream banks, and disturbed sites. Its palmate leaves (6-11"" in diameter) are highly dissected with five to nine deep lobes. The largest, widest leaves form at the base of the plant, where there may be some small side branches. The blooms (4-5"" in diameter) are pale yellow with a dark maroon to purple center eye, and emerge from the terminal end of a central flowering stalk. Attractive to butterflies and other pollinators. The leaves of sunset muskmallow are edible, and impart a mucilaginous texture to dishes when cooked. Deer tend to avoid this plant.Genus name is believed to come from the Arabic abu-l-mosk in reference to the smell of the seeds.The specific epithet manihot refers to the genus Manihot.The common name muskmallow refers to the seeds, which have a musky odor and have been used in perfumery.
","
Problems
This plant is closely related to okra (Abelmoschus esculentus), and is susceptible to similar pests including aphids, slugs, and white flies.
","
Garden Uses
A nice flowering addition to the vegetable garden. Does well in containers. Can add a tropical flare to sunny mixed borders, but will spread from seed.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=282613&isprofile=1&basic=Abelmoschus+moschatus,0, musk mallow ,Abelmoschus moschatus,Abelmoschus moschatus , Herbaceous perennial, Malvaceae, Tropical Asia, 9 to 11, 9 , 11, 1.50 to 2.00 feet, 1.50 ,2.00,feet, 1.00 to 1.50 feet, 1.00 ,1.50,feet, June to frost, Yellow to pink to orange-red, Full sun, Medium, Low, Annual, Showy,, Showy,,, Drought,"
Culture
Tender perennial that is winter hardy to USDA Zones 9-11. In St. Louis, it is grown as an annual. Easily grown in moist, moderately fertile, well-drained soils in full sun. Best flowering is in full sun. Thrives in hot summer climates. Start seed indoors 6-8 weeks before last frost date or purchase nursery plants. When grown from seed, flowers usually don’t appear until approximately 3 months after sowing. Set out plants after last frost date. Seed may be harvested from garden plants for planting the following year.
","
Noteworthy Characteristics
Abelmoschus moschatus, commonly called musk mallow, is native to tropical Asia. It is a compact tender perennial that typically grows in a bushy clump to 1.5-2’ tall when grown as an annual. Species plants feature hibiscus-like yellow flowers (to 2-3” wide) with purplish centers. Cultivars expand the available flower colors to include attractive shades of pink, orange-red and red often with white centers. Flowers last only for one day, but plants bloom freely throughout the growing season to frost. Flowers give way to fruit capsules (to 3” long) which have a musky aroma, hence the common name. Hairy, dark green leaves are deeply cut into 3-7 lobes. Abelmoschus esculentus (okra) also features attractive yellow flowers, but is more commonly grown as a vegetable crop for its edible seed pods.Genus name is believed to come from the Arabic abu-l-mosk in reference to the smell of the seeds.Specific epithet means musky.
","
Problems
No serious insect or disease problems. Watch for spider mites, slugs and whiteflies. Root rot may occur in poorly drained soils. Susceptible to powdery mildew.
","
Garden Uses
Beds, border fronts, pots, containers
",
Not found,0,0,Abies alba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Not found,0,0,Abies amabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=284972&isprofile=1&basic=Abies+balsamea,0, balsam fir ,Abies balsamea,Abies balsamea , Needled evergreen, Pinaceae, North America, 3 to 6, 3 , 6, 50.00 to 70.00 feet, 50.00 ,70.00,feet, 15.00 to 25.00 feet, 15.00 ,25.00,feet, Non-flowering, Non-flowering, Full sun to part shade, Medium, Medium,,,,," Fragrant, Evergreen", Winter Interest,,"
Culture
Best grown in rich, consistently moist, slightly acidic, well-drained soils in full sun to part shade. Best in full sun. Trees grow poorly in heavy clay soils. Trees are native to cool climates, and are not recommended for planting in the hot and humid summer conditions south of USDA Zone 5.
","
Noteworthy Characteristics
Abies balsamea, commonly called balsam fir, is native to moist woods and bottomlands from Labrador to Alberta south to northern Minnesota, Wisconsin, New England, New York and further south in the Appalachians to Virginia.  It is a primary component of the boreal forest that stretches across Canada.  This is an aromatic, symmetrical, narrow, pyramidal to conical evergreen conifer with a spire-like crown.  It typically grows to 50-70' (less frequently to 90') tall and to 15-25' wide.  It appears, albeit in a diminished shrubby form, as far north as the timber line.  Resinous branches are densely clad with flattened, shiny, dark green needles (to 1"" long).  Needles are unstalked with circular bases and are white-banded beneath.  Smooth gray-brown bark (greenish when young but brown and scaly on older trees) is covered with blisters which contain a sticky aromatic resin.  Cylindrical seed cones (to 2-4"" long) appear at the crown.  Cones are purple when young.  As is distinctive with the firs, the cones appear upright on the branches.  Cones disintegrate (scales drop) after the seeds ripen, often leaving only the erect central spike of the cone axis.Genus name is an ancient Latin name for a tree described by Pliny around 77 A.D.Specific epithet refers to the fragrant quality of the tree.
","
Problems
No serious insect or disease problems. Insect pests include Balsam woolly adelgids, bark beetles, spruce budworms, aphids, bagworms and scale. Spider mites may occur in hot conditions. Disease problems include cankers, heart rot, root rot, needle rust and twig blight. Trees are generally intolerant of urban pollution.
","
Garden Uses
Specimen fir for the landscape. Ornamental yard tree. Popular commercially grown Christmas tree because of its attractive fragrance and long retention of needles. Not recommended for the St. Louis climate.
",
Not found,0,0,Abies bracteata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=284980&isprofile=1&basic=Abies+concolor,0, white fir ,Abies concolor,Abies concolor , Needled evergreen, Pinaceae," Western United States, Mexico", 3 to 7, 3 , 7, 40.00 to 70.00 feet, 40.00 ,70.00,feet, 20.00 to 30.00 feet, 20.00 ,30.00,feet, Non-flowering, Non-flowering, Full sun to part shade, Medium, Medium,,,,," Fragrant, Evergreen", Winter Interest,,"
Culture
Best grown in rich, medium moisture, slightly acidic, sandy/gravelly, well-drained soils in full sun to part shade. Best in full sun. Established trees tolerate some soil dryness, but best performance usually comes with moist soils. Trees generally grow poorly in heavy clay soils. This tree thrives in areas with long winters followed by cool summer climates, and it usually does not grow well in the heat and humidity south of USDA Zone 7. It is, however, considered to be the best of the firs for tolerating the growing conditions of the Midwest.
","
Noteworthy Characteristics
Abies concolor, commonly called white fir or concolor fir, is primarily native to mountain slopes (3000-9000 feet in elevation) in the western U.S., including the southern Cascades and Sierras from Oregon to southern California and the Rockies from southern Idaho to Arizona and New Mexico. In the wild, it typically grows to 80-130’ tall, but on residential landscapes in the Midwest will more typically grow to 40-70’ tall with a spread to 20-30’. This is a narrow conical conifer with a straight trunk, spire-like crown and branching to the base. Upper branches tend to grow upward, but the lower branches tend to recline. With age, crowns flatten and lower branching begins to disappear. Soft, flattened, pale blue-green needles (to 2 1/2” long) have uniform coloration on both surfaces (specific epithet is in reference to this). Slightly barrel-shaped cones (to 3-6” long) are most often yellowish-green, maturing to brown or purple. As is distinctive with the firs, the cones appear upright on the branches. Trees may not produce cones and seeds for up to the first 40 years. Bark is ash-gray and smooth, but will furrow with age.Genus name is an ancient Latin name for a tree described by Pliny around 77 A.D.Specific epithet means the same color throughout.
","
Problems
No serious insect or disease problems. Insect pests include balsam woolly adelgid, bark beetles, spruce budworms, aphids, bagworms and scale. Spider mites may occur in hot conditions. Disease problems include root rot, needle rust and twig blight. Trees are generally intolerant of urban pollution. Broken branches often become sites for fungal infections. Strong winds may damage taller trees.
","
Garden Uses
Large specimen fir for the landscape.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285028&isprofile=1&basic=Abies+firma,0, momi fir ,Abies firma,Abies firma , Needled evergreen, Pinaceae, Japan, 6 to 9, 6 , 9, 40.00 to 60.00 feet, 40.00 ,60.00,feet, 30.00 to 50.00 feet, 30.00 ,50.00,feet, Non-flowering,, Full sun to part shade, Medium, Low,,,,," Fragrant, Evergreen", Winter Interest, Clay Soil,"
Culture
Best grown in rich, consistently moist, slightly acidic, well-drained soils in full sun to part shade.  Best in full sun, but appreciates some part afternoon shade in hot summer climates.  Likes moist cool locations, but, unlike most other species of fir, does respectably well in the hot and humid weather conditions of the deep South.  Tolerates heavy clay soils.  New growth in April is susceptible to damage from late spring frosts.
","
Noteworthy Characteristics
Abies firma, commonly called momi fir or Japanese fir, is a large, aromatic, conical-pyramidal, needled evergreen conifer that typically grows to 100-150’ tall in its native habitat.  It is likely to mature to a much smaller height (to 40-60’ tall) in cultivation in the U.S.  Branches on younger trees are ascending, but become more horizontal with age.  This fir is native to hills and mountain slopes in central to southern Japan from near sea level to about 6,000’ where it grows in a variety of locations on both dry and moist sites.  It is the most widely distributed fir in Japan where it is considered to be an important timber tree (flooring, crates, and paper pulp). 

Needles (to 1 1.5” long) are strongly two ranked, appearing like a 2-sided comb, forming a wide V shape on the lower twigs.  Needles on young trees are tipped by two sharp prickles at the apex.  Scaly, rough, fissured bark is gray, but becomes corky as it darkens with age.  Flowers appear in April-May.  Conical seed cones (to 3.5 to 5” long) emerge green in spring, but mature to yellowish-brown and are erect and showy throughout summer.  As is distinctive with the firs, the upright seed cones disintegrate (scales drop) in fall after the seeds ripen, often leaving only the erect central spike of the cone axis.  Much smaller cylindrical pollen cones (to 1 1/4"" long) droop from the leaf axils.Genus name is an ancient Latin name for a tree described by Pliny around 77 A.D.Specific epithet is in reference to the firm needles.Momi is the Japanese word for fir.
","
Problems
No serious insect or disease problems.  Potential insect pests include bark beetles, spruce budworms, aphids, bagworms and scale.  This species appears immune to attack from the balsam woolly adelgid which is a significant problem for some other species of fir.  Spider mites may occur in hot conditions.  Potential disease problems include cankers, heart rot, root rot, needle rust and twig blight.
","
Garden Uses
Large specimen fir for the landscape.  Screen.  Christmas tree.  Best fir for growing in the hot and humid conditions of the southeastern U.S.
",
